threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set
0.62,0.8625987708516243,0.8568257491675916,0.9064579256360078,0.8809433244579689,0.8592573394474587,0.7204122127679035,0.9303931204652076,0.9526466487202077,1614,387,239,2316,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.63,0.8630377524143986,0.8582560296846011,0.9052837573385518,0.8811428571428571,0.8597842716579123,0.7212656210364887,0.9303931204652076,0.9526466487202077,1619,382,242,2313,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.64,0.8630377524143986,0.8601268183513614,0.9025440313111546,0.8808250572956455,0.8599171726106711,0.7212065259601353,0.9303931204652076,0.9526466487202077,1626,375,249,2306,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.65,0.8636962247585601,0.8616305160807779,0.901761252446184,0.8812392426850258,0.8606556759394741,0.7225352180700726,0.9303931204652076,0.9526466487202077,1631,370,251,2304,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.66,0.8694029850746269,0.8714935557240333,0.8998043052837573,0.885422684382823,0.8667991196856702,0.7341951835293715,0.9303931204652076,0.9526466487202077,1662,339,256,2299,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.67,0.8691834942932397,0.8722919042189282,0.898238747553816,0.8850752024681836,0.8666333730119828,0.7337667168353017,0.9303931204652076,0.9526466487202077,1665,336,260,2295,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.68,0.8700614574187884,0.8770649250864387,0.8935420743639921,0.8852268321054673,0.8677525156986619,0.7357040685743813,0.9303931204652076,0.9526466487202077,1681,320,272,2283,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.69,0.8700614574187884,0.8785190898573081,0.8915851272015656,0.885003885003885,0.8678298940660192,0.7357844027236136,0.9303931204652076,0.9526466487202077,1686,315,277,2278,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.7,0.8691834942932397,0.8789168278529981,0.8892367906066536,0.8840466926070039,0.8669981700698665,0.7340738643599912,0.9303931204652076,0.9526466487202077,1688,313,283,2272,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.71,0.8674275680421423,0.8797197353055664,0.8845401174168297,0.8821233411397346,0.8653344890252334,0.7306857994286421,0.9303931204652076,0.9526466487202077,1692,309,295,2260,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.72,0.8698419666374012,0.8847058823529412,0.8829745596868884,0.8838393731635651,0.8679241787205397,0.735850505414522,0.9303931204652076,0.9526466487202077,1707,294,299,2256,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.73,0.8705004389815628,0.8884934756820878,0.8794520547945206,0.8839496459480723,0.8687374843444433,0.7375329883712115,0.9303931204652076,0.9526466487202077,1719,282,308,2247,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.74,0.8746707638279192,0.8974358974358975,0.8767123287671232,0.8869530785982974,0.8731736582353713,0.7466467581993007,0.9303931204652076,0.9526466487202077,1745,256,315,2240,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.75,0.875548726953468,0.9027552674230146,0.8720156555772994,0.8871192514433606,0.8742272706226341,0.7491049818938672,0.9303931204652076,0.9526466487202077,1761,240,327,2228,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.76,0.8777436347673397,0.9104354971240756,0.8673189823874755,0.8883543796351975,0.8766292878045014,0.7545171977039389,0.9303931204652076,0.9526466487202077,1783,218,339,2216,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.77,0.8784021071115014,0.9173967459324155,0.860665362035225,0.8881260096930533,0.8774764663849882,0.7570962125440887,0.9303931204652076,0.9526466487202077,1803,198,356,2199,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
